date,account_value
2019-11-08,1178138.236464558
2019-11-11,1178271.8700514415
2019-11-12,1182777.4111471751
2019-11-13,1186654.5961902353
2019-11-14,1185190.4455249521
2019-11-15,1194771.5828440746
2019-11-18,1197346.4161786844
2019-11-19,1202927.5941264995
2019-11-20,1204929.385017277
2019-11-21,1204637.480806061
2019-11-22,1211794.6206911854
2019-11-25,1219582.9527050555
2019-11-26,1222623.7838009112
2019-11-27,1227668.2502674372
2019-11-29,1226231.2412396434
2019-12-02,1221939.451550297
2019-12-03,1214340.203689503
2019-12-04,1217660.8875820276
2019-12-05,1219259.0080458187
2019-12-06,1223810.1052524264
2019-12-09,1218570.6315040668
2019-12-10,1220455.6541349872
2019-12-11,1221544.460281319
2019-12-12,1231721.7420540773
2019-12-13,1236905.1835862123
2019-12-16,1253839.2720833742
2019-12-17,1249433.1563569033
2019-12-18,1245731.6219635927
2019-12-19,1251407.4509125673
2019-12-20,1255795.7408269884
2019-12-23,1254661.7569855617
2019-12-24,1253870.8838102457
2019-12-26,1257446.412288746
2019-12-27,1259378.2800671123
2019-12-30,1251951.3839904063
2019-12-31,1255511.9599962428
